id,name,composer,effector,date,lv,lv_number,radar,s_tier,bpm,search_name,nickname
180001,Broken 8cmix,iroha(sasaki),,2012-01-18,HVN,18,,3,,,브로큰리믹스 / brokenremix
180002,Evans VolteX Pf arrange,cosMo＠暴走P,,2012-01-18,HVN,18,,7,,,
180003,冥 Rockin' SWING REMIX,164,,2012-03-12,INF,18,,9,,めい,명 리믹스
180004,Xepher Light and Darkness Dragon REMIX,デッドボールP,,2012-03-12,GRV,18,,5,,,제퍼리믹스 / 제퍼중
180005,FLOWER REDALiCE Remix,REDALiCE,,2012-03-28,INF,18,,3,,,
180006,neu BSP style,cosMo＠暴走P,,2012-04-26,XCD,18,,4,,,
180007,世界はネコのもの,Nem,,2012-04-26,XCD,18,,5,,せかいはねこのもの,세계는고양이의것
180008,Onigo,Hommarju,,2012-08-03,HVN,18,,3,,,52 / 오니고
180009,幻想のサテライト,豚乙女,,2012-09-21,HVN,18,,9,,げんそうのさてらいと,
180010,腐れ外道とチョコレゐト,ピノキオP,,2012-11-02,HVN,18,,10,,くされげどうとちょこれいと,썩어빠진외도와초콜릿
180011,V.I.P.,ismK,,2012-11-08,HVN,18,,2,,,VIP
180012,Absurd Gaff,siromaru,,2012-11-22,GRV,18,,2,,,앱가프 / 앱저드가프
180013,croiX,TeamGrimoire+あま猫,,2012-11-29,INF,18,,3,,,크로아 / 크로익스
180014,Max Burning!!,BlackY,,2012-11-29,INF,18,,4,,,
180015,PANIC HOLIC,C-Show,,2012-11-29,GRV,18,,9,,,
180016,魔理沙は大変なものを盗んでいきました,ARM(IOSYS),,2012-12-14,GRV,18,,3,,まりさはたいへんなものをぬすんでいきました,마리사는엄청난것을훔쳐갔습니다
180017,物凄い勢いでけーねが物凄いうた,Halozy feat. ななひら,,2012-12-14,XCD,18,,4,,ものすごいいきおいでけーねがものすごいうた,
180018,金縛りの逢を,はるなば,,2013-01-31,HVN,18,,9,,かなしばりのあいを,
180019,The world of sound,"Music by Ryuwitty, Vocal by Kuroa*",,2013-04-04,HVN,18,,3,,,월오사
180020,孤独の番人,SCL Project（natsuP）feat. MAYU,,2013-05-07,HVN,18,,6,,こどくのばんにん,
180021,Sakura Reflection (P*Light Slayer Remix),P*Light,,2013-06-05,VVD,18,,9,,,
180022,She is my wifeすーぱーアイドル☆ミツル子Remixちゃん,高井さんとuno(IOSYS),,2013-06-05,VVD,18,,3,,,
180023,Foolish Hero,lapix,,2013-06-05,XCD,18,,5,,,
180024,魔境堕天録サリエル,Unlucky Morpheus,,2013-06-20,HVN,18,,2,,まきょうだてんろくさりえる,?
180025,Qubism,Hate vs Brilliance,,2013-06-20,HVN,18,,6,,,
180026,VALLIS-NERIA,DJ YOSHITAKA,,2013-07-03,EXH,18,TRICKY,6,185,,
180027,こちら、幸福安心委員会です。,うたたP,,2013-07-03,VVD,18,,4,,こちら　こうふくあんしんいいんかいです,"여기는, 행복안심위원회입니다."
180028,C18H27NO3,Team Grimoire,,2013-07-18,HVN,18,,9,,,캡사이신
180029,Lieselotte,wa.,,2013-07-18,XCD,18,,9,,,리셀롯
180030,Joyeuse,ke-ji,,2013-08-02,VVD,18,,0,,,주와이외즈
180031,#Fairy_dancing_in_lake,uno(IOSYS),,2013-08-16,VVD,18,,4,,,페댄 / 페어리댄싱인레이크
180032,Unicorn tail Dustboxxxx RMX,Dustboxxxx,,2013-08-23,VVD,18,,9,,,
180033,Crack Traxxxx,Lite Show Magic (t+pazolite vs C-Show),,2013-10-02,GRV,18,,7,,,
180034,最終鬼畜妹フランドール・S,ビートまりお（COOL&CREATE）,,2013-10-04,GRV,18,,10,,さいしゅうきちくいもうとふらんどーる,
